Run,Size,Time_insert (nanoseconds),Time_getMax (nanoseconds),Time_deleteMax (nanoseconds) 
4993,1373130,35545200,0,300
4994,3554983,91914200,100,600
4995,7960796,204327100,0,600
4996,1377492,35106300,100,300
4997,5049137,131852500,0,1000
4998,7876944,199492700,0,1000
4999,2147276,52371400,100,300
5000,4040367,99122700,100,400
5001,1834188,44468800,100,400
5002,7714041,193307600,0,700
5003,7828969,193523600,100,400
5004,7063419,172211600,100,700
5005,5125878,125653600,0,700
5006,1956016,49600900,0,400
5007,4367202,113634600,0,600
5008,1863272,47653000,0,500
5009,4288450,108897900,0,700
5010,4817187,125977500,0,900
5011,8017773,194632900,0,700
5012,8840013,228539500,0,800
5013,5200203,137086300,0,500
5014,8164524,208448700,0,600
5015,7777620,198995100,0,600
5016,38212,1051400,0,200
5017,6846454,173011700,0,800
5018,5521049,136771800,0,800
5019,456623,11543900,100,300
5020,9835566,260953100,0,700
5021,2039308,53070600,0,500
5022,7210993,178116000,0,600
5023,6559569,164916500,0,800
5024,8014397,197071800,0,700
5025,8008686,198236700,0,700
5026,7541383,187004000,0,700
5027,9145052,236092800,100,700
5028,3810701,93074000,0,500
5029,1011003,27180800,0,400
5030,3386007,85681200,100,400
5031,1547415,39211000,0,300
5032,2539439,67513300,0,1800
5033,4878463,122540700,0,700
5034,7340995,180708800,100,500
5035,1219253,29739200,100,300
5036,9375900,231471900,100,400
5037,163287,4633000,100,300
5038,1296465,32532100,0,500
5039,9836962,240537600,0,400
5040,4315405,104955100,100,500
5041,1012071,24512600,0,100
5042,3064340,74503000,0,600
5043,4473329,112191800,0,600
5044,6805034,173944100,0,700
5045,7051489,177603100,100,600
5046,3778427,97775100,100,400
5047,8991442,222292600,0,1000
5048,882830,21526000,0,200
5049,2317642,56060200,0,300
5050,8177452,198060900,0,700
5051,1668739,40240500,0,300
5052,5787368,142998700,100,900
5053,6689282,171276200,0,600
5054,986449,23908100,0,300
5055,5166042,125445900,0,600
5056,3218914,80743100,0,600
5057,2331172,58960000,100,300
5058,3969550,103207700,0,700
5059,5055817,124133100,0,400
5060,5354075,136961400,0,700
5061,6375949,157710800,0,500
5062,4386726,106265300,0,300
5063,797519,19334300,0,300
5064,2601208,66317200,0,400
5065,6177026,150607900,0,700
5066,2689353,65383000,0,300
5067,3307955,80282300,0,400
5068,6277619,153861600,0,400
5069,3419667,86496700,100,900
5070,567549,14183600,100,200
5071,7743481,187724700,0,500
5072,3850519,96452000,0,500
5073,3481928,84700100,0,400
5074,9963801,255291400,0,900
5075,8439850,216161800,0,800
5076,9509596,250270000,0,700
5077,88655,2275000,0,100
5078,3703423,99072200,0,400
5079,1750301,44243600,0,500
5080,8544302,211838900,0,600
5081,3899339,97395100,0,2000
5082,759934,18495100,0,300
5083,7907441,198518600,100,800
5084,4316401,108016200,0,800
5085,4564549,114725800,0,500
5086,1987088,48748700,0,300
5087,533492,13522600,100,300
5088,6567514,163637600,0,700
5089,7074662,179054600,0,700
5090,632879,15570600,0,200
5091,4620189,121718400,100,1000
5092,7085469,172780500,100,400
5093,828715,20421800,0,400
5094,2502496,62229500,0,600
5095,4775891,126433300,0,400
5096,733309,19070700,0,300
5097,8197454,206212200,0,600
5098,2705462,65550900,100,400
5099,1498082,36188900,100,200
5100,3032288,76455300,0,400
5101,7794575,199698400,0,700
5102,2233103,54230300,0,300
5103,9260844,226706500,0,600
5104,195096,4892800,0,200
5105,7505721,191922600,0,800
5106,8537794,215765600,100,800
5107,2054054,51758700,0,400
5108,4733151,115696700,100,800
5109,5402876,136735500,100,700
5110,8579300,216218400,100,800
5111,4811886,117875200,100,800
5112,4659073,113137800,0,600
5113,9898029,249250500,0,800
5114,1754351,42321000,100,300
5115,6579851,171969800,100,900
5116,2593409,65624500,0,600
5117,5315974,134692400,0,600
5118,924453,22317000,0,300
5119,4094719,104899800,0,900
5120,4860079,118662700,0,500
5121,2415112,58538100,0,400
5122,6236809,151439100,0,500
5123,5037801,124501300,0,800
5124,5555117,139714400,0,700
5125,9616345,235212400,0,600
5126,9718581,239799800,100,1100
5127,865548,20899100,100,300
5128,3077005,76098800,0,300
5129,2387841,59661200,0,600
5130,2636895,63787300,100,400
5131,8749188,213552200,100,700
5132,5195107,125481700,0,400
5133,8189564,199279500,0,700
5134,4516438,110952300,0,400
5135,437435,10580000,0,200
5136,9899398,246640500,0,600
5137,5373646,141751100,0,700
5138,810546,20465000,0,300
5139,3191973,81048000,0,600
5140,784382,19853000,0,200
5141,6271498,160252100,0,700
5142,242368,6107400,0,300
5143,8776261,225489800,0,1400
5144,247398,6253700,100,200
5145,5742439,146067400,100,1000
5146,1635612,42003100,0,700
5147,5802656,147213000,0,300
5148,8490844,215338400,0,700
5149,9677123,247546000,0,1000
5150,7148051,183402400,100,1100
5151,3846820,97456100,100,1100
5152,2867322,73713900,0,900
5153,942783,23889200,0,300
5154,2955758,75045900,0,700
5155,1339669,33906500,0,800
5156,6301656,158174900,100,300
5157,1477113,37470500,0,400
5158,7518544,186961400,100,600
5159,8983324,229360400,0,800
5160,9626845,240608400,0,700
5161,6625326,166580000,0,800
5162,8059169,205409100,0,900
5163,7944662,199243000,0,700
5164,6720018,166933100,0,1000
5165,3244823,82445900,0,400
5166,9051588,222346900,0,800
5167,7151270,173403800,0,500
5168,6136229,149307100,0,900
5169,4687406,113600600,0,600
5170,415945,10057100,100,200
5171,8674277,212751100,0,900
5172,4821662,118923600,0,900
5173,8751676,215027800,0,1000
5174,7195820,176181400,100,1200
5175,626153,15346600,0,400
5176,8939620,221289700,0,900
5177,6187011,152332100,0,500
5178,3195589,77839200,0,300
5179,2864203,69453700,0,400
5180,1458176,37518600,100,400
5181,9183132,227541500,0,800
5182,3665200,89242500,0,700
5183,2884380,73099500,0,500
5184,5067235,123890800,100,300
5185,6749010,167901800,100,600
5186,9939686,245855100,0,1500
5187,1605197,39897500,0,200
5188,1683250,42730600,100,400
5189,6582179,159802200,0,900
5190,7822873,195706300,0,1300
5191,928359,22456000,0,300
5192,7453417,183719400,0,900
5193,3373560,81519400,0,300
5194,5702906,139427500,100,900
5195,3800899,92263700,0,800
5196,6185911,150152400,0,800
5197,7630978,189355300,0,600
5198,3642360,96858700,0,400
5199,9272593,232032900,0,900
5200,8588000,217148300,0,600
5201,6761813,167473700,0,600
5202,1995456,50313900,100,300
5203,4318511,107895200,0,500
5204,7679275,190971400,0,800
5205,7840282,194718300,100,600
5206,7877817,200567500,0,700
5207,4616677,113038500,0,600
5208,5970460,152302900,0,700
5209,7365650,182826800,0,800
5210,4296659,106198100,0,500
5211,6404094,157933800,0,1000
5212,1175253,29804000,0,400
5213,646325,16521000,0,400
5214,3136689,76848300,0,500
5215,2829549,70647300,0,400
5216,5479762,140684100,0,500
5217,8027582,194713400,0,800
5218,2522630,61740900,100,400
5219,7479147,182636600,0,500
5220,7861952,205013000,0,900
5221,7360751,178399900,0,500
5222,8000955,201366100,0,700
5223,9408968,232831800,0,600
5224,3306700,80353400,0,500
5225,3120687,75518600,0,300
5226,1735144,44067400,0,500
5227,7987992,193741400,0,700
5228,8035037,198307800,0,600
5229,2399850,58145200,100,400
5230,3922962,95795100,0,600
5231,451794,10944100,0,200
5232,1975930,50131100,0,200
5233,1895475,45985200,0,300
5234,8744066,216810300,0,900
