Run,Size,Time_insert (nanoseconds),Time_getMax (nanoseconds),Time_deleteMax (nanoseconds) 
6130,9585307,164280500,2319400,3541200
6131,6303676,108387300,1489900,2226000
6132,5694174,96226000,1357800,2028000
6133,6889779,118474700,1646100,2486500
6134,6536034,114752700,1547500,2296200
6135,9574676,162373200,2296800,3361000
6136,1162537,21906100,290900,397200
6137,8530800,146966900,2017500,3150100
6138,3713154,62501100,1146500,2064700
6139,3922939,67148000,939600,1361200
6140,5177221,90324600,1352000,1823700
6141,6579073,115693500,1606600,2323500
6142,3724401,63251600,865200,1394000
6143,6269917,109347900,1475400,2211000
6144,8517316,144041000,2083700,3009200
6145,1742541,30630800,289800,496600
6146,9838972,169006200,2296000,3422500
6147,213560,3635300,30900,56500
6148,7774800,130982400,1834300,2732100
6149,1453809,24509000,277500,422200
6150,5957295,105721900,1452900,2196000
6151,4819597,81457100,1141000,1681800
6152,5837693,101335300,1381900,2056300
6153,7630329,128538300,1832600,2692000
6154,4008222,72046800,956900,1543300
6155,7962927,134813500,1861900,2794500
6156,7922748,136199400,1877200,2798700
6157,1399775,23617200,269100,399800
6158,3371518,59874300,792100,1157700
6159,5366665,91912300,1273600,1911000
6160,3482942,59169100,816500,2116500
6161,8813783,151150500,2228400,3131300
6162,7923355,136735800,1877000,2817300
6163,656345,11105100,106200,183900
6164,9504740,162586800,2253500,3399400
6165,8295348,140287900,1969800,2938600
6166,8044916,143461700,1934500,2893500
6167,7230620,122166500,1772900,2593100
6168,7717179,131204900,1820700,2722000
6169,7832167,136809900,1905000,2778200
6170,1368945,23063900,242300,391000
6171,7675609,130582100,1845900,2758600
6172,6227217,105343800,1472200,2227300
6173,1859665,33022000,365300,553400
