Run,Size,Time_insert (nanoseconds)
4193,5678059,3148800
4194,707300,245200
4195,5811568,3420900
4196,8493864,4809600
4197,3798458,2266300
4198,6137206,6961300
4199,2861954,1541600
4200,5958132,3062400
4201,8711336,5772900
4202,9097690,5475600
4203,2449553,1251300
4204,9441368,5206000
4205,1179120,1558900
4206,8766837,5274300
4207,2618943,1604600
4208,6659034,4115400
4209,6463467,7497200
4210,6400925,4414300
4211,6534021,3589600
4212,6930606,3951800
4213,4992523,3097400
4214,2285508,1091100
4215,5612989,3137500
4216,6985893,4098600
4217,6546937,4890900
4218,685897,546900
4219,973378,750700
4220,5252033,2988300
4221,5004097,3655900
4222,3230558,1575400
4223,2574154,1673600
4224,8639006,5432000
4225,320805,130800
4226,67950,8400
4227,3129644,1777300
4228,5610003,3409600
4229,4193536,2775100
4230,2656753,1509100
4231,2632925,2799700
4232,2464413,1448800
4233,4161118,2058800
4234,1872242,947000
4235,6497048,3451400
4236,975637,343800
4237,4627321,2877000
4238,8287329,4819400
4239,6767920,3796300
4240,8119574,4802400
4241,7692899,4561800
4242,9707841,5702800
4243,9557506,5265100
4244,1767004,983100
4245,1265949,492900
4246,1004182,355100
4247,4358102,2451400
4248,180612,47300
4249,5664901,3133700
4250,6376962,3394900
4251,3196268,1568200
4252,2861168,1895200
4253,17082,1800
4254,8012289,4716500
4255,2776187,1335600
4256,493812,241700
4257,9514770,5339800
4258,5627105,2699300
4259,17380,1600
4260,1047326,448600
4261,2005606,1387600
4262,9900995,5824100
4263,8570752,4513200
4264,3554603,2649600
4265,9670540,5498700
4266,3804074,1992300
4267,7396077,3840900
4268,181758,50300
4269,1679535,1007700
4270,1749086,863400
4271,3866120,2870200
4272,4018267,2463100
4273,988936,503100
4274,4494453,2147200
4275,8800362,8743600
4276,6496845,3499100
4277,2581118,1298000
4278,4950751,2397000
4279,3760290,2191600
4280,5432665,3278200
4281,6827037,3806800
4282,6605946,3209200
4283,5419072,3159200
4284,4733930,2635200
4285,3719837,1921300
4286,7558519,6161200
4287,3645256,2226400
4288,1185423,541000
4289,1723138,1085400
4290,7248201,3558000
4291,2351772,1049700
4292,6986456,3589200
4293,2266859,1027800
4294,257430,67200
4295,4803224,2291900
4296,3389140,1683600
4297,1671902,860100
4298,1589260,661800
4299,4242456,2094900
4300,1002927,316000
4301,4311732,1881200
4302,7766891,3755900
4303,244447,64000
4304,25482,2100
4305,419524,97600
4306,7950133,3793700
4307,5424221,2621500
4308,2403446,1132800
4309,6101432,2912300
4310,2319904,1152000
4311,8976285,4283100
4312,2777132,1267200
4313,2240971,960100
4314,7769580,3934100
4315,631454,170300
4316,7231684,3481300
4317,3313186,2325800
4318,220743,147000
4319,6869510,4382800
4320,4862803,3688000
4321,3336388,4984100
4322,2877002,2426900
4323,9169335,6213200
4324,1116979,455200
4325,6964631,3640600
4326,1014934,529500
4327,2468444,1298700
4328,1336399,479900
4329,835366,360200
4330,5810129,3142800
4331,7404193,4329100
4332,5929397,3202500
4333,9240213,5947300
4334,1848960,969400
4335,1277460,406100
4336,1021584,307500
4337,4365522,3085400
4338,7492328,4557700
4339,9952801,5178700
4340,1682249,684200
4341,9556684,8544400
4342,6138683,3053600
4343,4397884,2354200
4344,4223848,2088100
4345,6587187,3181300
4346,4931925,2562900
4347,4667722,2645400
4348,98434,14900
4349,1930955,768500
4350,5200436,2532800
4351,8886370,4603100
4352,5679454,2724000
4353,5861035,2856100
4354,6116935,3413600
4355,1683563,652400
4356,3310241,1740500
4357,4248094,2024100
4358,7859646,4475200
4359,8852574,4904300
4360,4415203,2815500
4361,6984797,3982000
4362,6878694,4959200
4363,9856214,4762800
4364,9838430,4728600
4365,4094478,2145200
4366,2039409,1093100
4367,3458442,1755400
4368,6425077,3227300
4369,8044920,3944800
4370,1692478,674700
4371,9656568,5355600
4372,3920498,1916900
4373,629713,192300
4374,362911,89600
4375,8896129,5159800
4376,5489349,2824000
4377,47018,4500
4378,2985780,1439500
4379,5262520,2555000
4380,2677380,1225700
4381,328618,85400
4382,4952788,2396900
4383,2407915,1102000
4384,6473747,3196800
4385,9163741,4465300
4386,4490830,2177700
4387,2910961,1402000
4388,4605583,2300700
4389,845919,282100
4390,9209252,4448200
4391,86907,11700
4392,3719775,1792200
4393,7701286,3755800
4394,5252407,2818800
4395,6906889,3855100
4396,6368234,3796300
4397,4440912,1950000
4398,6200334,3034600
4399,5612258,2729500
4400,9473385,5742800
4401,1592082,673500
4402,9394962,4881600
4403,5651253,2961600
4404,4698260,2333100
4405,9247310,4341400
4406,6127418,3544800
4407,7477544,4285800
4408,2225586,1276000
4409,1305189,636600
4410,5476680,3233600
4411,9037313,5276600
4412,5712229,3188400
4413,1807614,1130300
4414,3190133,2549100
4415,59835,7200
4416,4111966,1997200
4417,8538862,6603000
4418,773854,627000
4419,5696648,2737600
4420,3074686,1593800
4421,158833,48900
4422,9828077,6286500
4423,7799192,3784100
4424,2957469,2039000
4425,6239840,2972700
4426,8872709,5964300
4427,1212733,429200
4428,3175390,1507100
4429,3515749,1671000
4430,7664105,4253500
4431,4673207,2661900
4432,7462779,3662600
4433,4957299,2407300
4434,4814204,2093000
4435,8480005,4958900
4436,9134858,4376100
4437,7029234,3413900
4438,4225578,2034200
4439,3554546,1699200
4440,793149,212900
4441,4042663,2015400
4442,7579323,3986900
4443,8206208,3964100
4444,662381,249800
4445,5614399,2693700
4446,7771303,4223300
4447,918599,465100
4448,583626,203900
4449,7326338,3593000
4450,3142722,1868000
4451,1665843,884000
4452,5045469,2321900
4453,475334,129800
4454,2208214,1323200
4455,1674382,930100
4456,2003238,1050500
4457,7371032,4136500
4458,3539069,2091800
4459,7527901,4603200
4460,9410156,4937300
4461,3826548,2581300
4462,460295,209800
4463,1696936,966400
4464,4493223,3049300
4465,3696138,1809400
4466,4460555,2212200
4467,3470200,1722100
4468,3248354,1590100
4469,4593186,2305200
4470,2632104,1354900
4471,4030350,1984400
4472,5087254,3345600
4473,4682233,2359900
4474,7243912,4210000
4475,365275,132600
4476,8560326,4099000
4477,9155517,4762800
4478,4247578,2855000
4479,3063433,1475400
4480,6125786,2977900
4481,4954667,2635300
4482,5152782,2851900
4483,4323366,2432500
4484,4788965,2518900
4485,8151831,4903900
4486,4865464,2520000
