Run,Size,Time_insert (nanoseconds)
3231,7259376,71565300
3232,1607946,15078300
3233,3229296,34376300
3234,3054917,29718000
3235,3634563,37917500
3236,7013669,69062600
3237,1755586,16404900
3238,5653261,50693400
3239,1815744,17570800
3240,9649292,104056800
3241,5403751,54284200
3242,2055222,35221600
3243,4721360,46222200
3244,341913,3717100
3245,1415375,13104700
3246,2671070,26754600
3247,3285929,29320700
3248,3909909,40020900
3249,4029166,35845400
3250,9088870,90820500
3251,1068872,10149800
3252,1812800,22797100
3253,8829816,78300200
3254,3918812,34822000
3255,8602241,83795500
3256,4513265,46387400
3257,7834706,69932700
3258,2911588,29569900
3259,7472540,71874300
3260,1449739,17446400
3261,6525699,59682200
3262,8947283,103322100
3263,4191155,41020400
3264,2611205,31037700
3265,2374921,22208400
3266,6865685,70792100
3267,3306089,35830100
3268,3427768,33606600
3269,5478201,53942600
3270,9701117,106266400
3271,5863829,54382200
3272,1780898,17213900
3273,5472139,50766700
3274,566547,5558700
3275,9468341,84489000
3276,1447046,13840800
3277,4798647,49154200
3278,5956764,62744400
3279,3236144,30873000
3280,3916420,40321600
3281,1195926,11068700
3282,3827833,36003200
3283,3934049,39664200
3284,2155423,22410100
3285,2858559,28689400
3286,6496887,58266700
3287,7575715,72851900
3288,6330082,61267800
3289,3124909,32150000
3290,7375151,68299300
3291,6507019,58614600
3292,3416816,33414100
3293,8670954,79239300
3294,3483879,31124800
3295,4242452,38442600
3296,990921,8989600
3297,587869,5583600
3298,9138891,90327700
3299,5536323,54731000
3300,9146874,90161500
3301,152311,1414800
3302,7253178,73352200
3303,7980028,78718300
3304,1700370,16922700
3305,504715,4696600
3306,4063381,38136300
3307,7019433,66887400
3308,799664,7423200
3309,2898261,32693700
3310,2771079,25070800
3311,44341,380400
3312,7149131,72470400
3313,6469422,68995900
3314,4506822,43378600
3315,1393994,12918200
3316,4528708,42354000
3317,4240100,39413800
3318,3830899,41806900
3319,629528,5861600
3320,8257358,76938900
3321,2981006,28154200
3322,9051515,84617000
3323,8845623,90050700
3324,5053066,49608700
3325,8303211,83113100
3326,7071288,87201400
3327,8010532,74340000
3328,6004606,54916300
3329,5298378,51297200
3330,9190352,94625200
3331,4748629,44104500
3332,4118201,38307500
3333,3364808,31460000
3334,9462425,92794500
3335,4594789,42605200
3336,7631792,74322300
3337,4802129,51951000
3338,8335942,77667900
3339,6518567,59092900
3340,5045522,46705200
3341,1470291,14992300
3342,2632565,26372800
3343,8586812,81621400
3344,5307433,47410700
3345,7084334,73657500
3346,6686305,63410900
3347,1717189,17547300
3348,2549686,23649600
3349,8411202,86681900
3350,5039826,52722000
3351,8176700,89367900
3352,9231058,89365700
3353,7864670,80406300
3354,3324354,36260000
3355,6421898,62733600
3356,9858693,109215300
3357,5137477,54234700
3358,9638887,94975500
3359,9245764,93717500
3360,7266570,67882400
3361,9363742,94554500
3362,9890757,98918600
3363,3177608,30772700
3364,3636836,33920200
3365,2548926,25155700
3366,6266579,58522400
3367,7530748,73356900
3368,4501001,44977600
3369,8811421,93443000
3370,2890060,31401300
3371,4285250,42478000
3372,6660804,62209000
3373,6661458,68625600
3374,6754845,67154000
3375,3191931,33585500
3376,2014915,20602600
3377,8200155,81185000
